year,"draught 
animal 
energy","human 
energy","humene 
for 
work","humene 
for 
final 
consump 
-tion ","total 
animate 
energy","fire-
wood 
house-
holds","fire-
wood 
industry ","fire-
wood 
service","fire-
wood 
power","total 
fire-
wood ","spent 
pulp- 
liquor ",coal, oil
1800,12.60,9.29,1.56,7.73,21.89,75.90,7.62,4.9,0,88.42,,0.234,
1801,12.70,9.33,1.57,7.75,22.03,75.63,7.85,5,0,88.44,,0.349,
1802,12.80,9.40,1.59,7.81,22.20,75.66,7.33,5,0,88.02,,0.222,
1803,12.90,9.47,1.60,7.87,22.37,75.66,7.87,5.1,0,88.62,,0.353,
1804,13.00,9.54,1.62,7.92,22.54,75.62,7.52,5.2,0,88.29,,0.428,
1805,13.13,9.61,1.64,7.98,22.74,75.66,7.79,5.2,0,88.67,,0.298,
1806,13.20,9.65,1.65,8.00,22.85,75.33,7.98,5.3,0,88.60,,0.569,
1807,13.30,9.69,1.66,8.03,22.99,75.14,7.01,5.3,0,87.49,,0.69,
1808,13.40,9.65,1.66,7.99,23.05,74.23,6.74,5.4,0,86.37,,0.925,
1809,13.50,9.57,1.65,7.92,23.07,73.01,4.41,5.5,0,82.88,,0.79,
1810,13.61,9.58,1.65,7.93,23.19,72.55,4.36,5.5,0,82.44,,0.559,
1811,13.70,9.65,1.67,7.98,23.35,72.47,4.74,5.6,0,82.80,,0.374,
1812,13.80,9.68,1.68,8.00,23.48,72.16,5.09,5.7,0,82.91,,0.445,
1813,13.86,9.71,1.69,8.02,23.57,71.78,5.15,5.7,0,82.65,,0.372,
1814,13.90,9.77,1.71,8.07,23.67,71.66,5.08,5.8,0,82.52,,0.335,
1815,13.97,9.88,1.73,8.15,23.85,71.90,5.4,5.8,0,83.15,,0.485,
1816,14.10,10.02,1.76,8.26,24.12,72.30,6.77,5.9,0,84.97,,0.573,
1817,14.20,10.12,1.78,8.34,24.32,72.43,6.85,6,0,85.25,,0.552,
1818,14.30,10.23,1.80,8.42,24.53,72.59,7.13,6,0,85.75,,0.394,
1819,14.40,10.29,1.82,8.47,24.69,72.46,7.58,6.1,0,86.13,,0.47,
1820,14.46,10.39,1.84,8.55,24.85,72.53,7.85,6.2,0,86.54,,0.458,
1821,14.52,10.50,1.87,8.64,25.02,72.69,7.34,6.2,0,86.25,,0.458,
1822,14.58,10.65,1.90,8.75,25.23,73.09,7.01,6.3,0,86.39,,0.469,
1823,14.64,10.83,1.94,8.89,25.47,73.68,7.56,6.3,0,87.58,,0.503,
1824,14.68,10.99,1.97,9.02,25.67,74.11,7.69,6.4,0,88.21,,0.511,
1825,14.71,11.17,2.01,9.17,25.89,74.70,7.78,6.5,0,88.95,,0.409,
1826,14.77,11.31,2.04,9.28,26.08,74.99,7.68,6.5,0,89.21,,0.514,
1827,14.83,11.41,2.06,9.35,26.24,74.98,7.06,6.6,0,88.64,,0.613,
1828,14.90,11.50,2.08,9.41,26.40,74.85,7.33,6.7,0,88.85,,0.441,
1829,14.95,11.57,2.10,9.47,26.52,74.65,6.21,6.7,0,87.58,,0.445,
1830,15.01,11.68,2.12,9.55,26.69,74.66,6.33,6.8,0,87.78,,0.655,
1831,15.06,11.73,2.14,9.59,26.79,74.35,6.45,6.8,0,87.65,,0.482,
1832,15.12,11.83,2.16,9.66,26.95,74.26,6.35,6.9,0,87.52,,0.487,
1833,15.18,11.98,2.20,9.78,27.16,74.53,6.18,7,0,87.69,,0.503,
1834,15.24,12.09,2.22,9.86,27.33,74.48,5.98,7,0,87.49,,0.68,
1835,15.29,12.26,2.26,10.00,27.56,74.86,6.61,7.1,0,88.57,,0.858,
1836,15.34,12.41,2.29,10.12,27.75,75.03,6.84,7.2,0,89.03,,0.767,
1837,15.40,12.48,2.31,10.17,27.88,74.76,6.87,7.2,0,88.85,,0.696,
1838,15.46,12.55,2.33,10.22,28.01,74.42,6.85,7.3,0,88.56,,0.864,
1839,15.52,12.62,2.35,10.27,28.14,74.12,7.23,7.4,0,88.71,,0.947,
1840,15.58,12.76,2.38,10.38,28.33,74.20,7.43,7.4,0,89.05,,0.97,
1841,15.68,12.90,2.41,10.49,28.58,74.31,7.41,7.5,0,89.20,,0.988,
1842,15.78,13.05,2.45,10.60,28.83,74.39,7.55,7.5,0,89.48,,1.338,
1843,15.88,13.18,2.48,10.70,29.06,74.36,7.36,7.6,0,89.32,,1.12,
1844,15.98,13.34,2.52,10.83,29.32,74.52,6.62,7.7,0,88.81,,1.108,
1845,16.09,13.52,2.55,10.96,29.61,74.73,6.13,7.7,0,88.59,,1.426,
1846,16.21,13.63,2.58,11.05,29.84,74.59,7.07,7.8,0,89.45,,1.343,
1847,16.33,13.72,2.61,11.11,30.05,74.27,7.3,7.9,0,89.42,,1.223,
1848,16.50,13.87,2.64,11.23,30.37,74.30,7.37,7.9,0,89.58,,1.818,
1849,16.62,14.06,2.68,11.37,30.68,74.50,6.59,8,0,89.09,,2.024,
1850,16.74,14.23,2.72,11.51,30.97,74.62,7.31,8,0,89.97,,2.448,
1851,16.87,14.38,2.76,11.62,31.25,75.00,7.86,8.1,0,90.97,,2.582,
1852,17.00,14.48,2.78,11.70,31.48,75.16,7.95,8.2,0,91.28,,2.59,
1853,17.13,14.59,2.81,11.78,31.72,75.30,7.7,8.2,0,91.23,,2.537,
1854,17.26,14.78,2.85,11.92,32.04,75.89,8.17,8.3,0,92.35,,3.085,
1855,17.39,14.92,2.89,12.03,32.31,76.22,9.33,8.4,0,93.91,,3.265,
1856,17.52,15.06,2.92,12.14,32.58,76.53,8.8,8.4,0,93.75,,4.691,
1857,17.65,15.13,2.94,12.18,32.78,76.47,8.9,8.5,0,93.85,,5.924,
1858,17.78,15.33,2.99,12.34,33.11,77.06,9.27,8.5,0,94.88,,5.7,
1859,17.92,15.55,3.04,12.51,33.47,77.79,9.85,8.6,0,96.25,,7.522,
1860,18.06,15.86,3.11,12.75,33.92,78.89,10.1,8.7,0,97.63,,7.48,
1861,18.17,16.10,3.16,12.94,34.28,79.68,9.95,8.7,0,98.36,,9.593,
1862,18.41,16.31,3.21,13.10,34.72,80.28,11.1,8.8,0,100.18,,9.803,
1863,18.50,16.55,3.27,13.29,35.05,81.03,10.8,8.9,0,100.68,,9.734,
1864,18.76,16.76,3.32,13.44,35.52,81.58,11.6,8.9,0,102.13,,10.32,0.026
1865,18.70,16.95,3.36,13.59,35.65,82.06,11.7,9,0,102.76,,10.72,0.033
1866,18.62,17.15,3.41,13.74,35.77,82.58,12.1,9,0,103.77,,11.05,0.061
1867,18.54,17.30,3.45,13.86,35.84,82.86,12.3,9.1,0,104.24,,10.31,0.062
1868,18.48,17.22,3.44,13.78,35.70,82.00,12.5,9.2,0,103.64,,12.04,0.133
1869,18.44,17.17,3.44,13.73,35.61,81.31,13.7,9.2,0,104.28,,10.51,0.13
1870,18.39,17.22,3.45,13.77,35.61,81.09,13.6,9.3,0,104.03,,13.15,0.2
1871,18.80,17.38,3.49,13.88,36.18,81.37,12.9,9.3,0,103.50,,14.01,0.214
1872,19.37,17.58,3.54,14.03,36.94,81.84,16,9.2,0,107.05,,17.75,0.266
1873,19.95,17.78,3.59,14.19,37.73,82.33,15.4,9.2,0,106.94,,17.55,0.337
1874,19.74,17.97,3.64,14.33,37.71,82.74,12.6,9.2,0,104.50,,19.2,0.366
1875,20.46,18.16,3.68,14.47,38.62,83.10,14.1,9.1,0,106.39,,23.31,0.373
1876,20.60,18.36,3.73,14.62,38.96,83.54,14.8,9.1,0,107.41,,24.99,0.417
1877,20.55,18.59,3.79,14.80,39.14,84.14,13.9,9.1,0,107.09,,26.32,0.458
1878,20.90,18.80,3.84,14.96,39.70,84.58,13.2,9,0,106.85,,22.27,0.459
1879,20.97,19.01,3.89,15.11,39.97,85.00,13.6,9,0,107.58,,22.38,0.556
1880,21.02,18.96,3.89,15.07,39.98,84.30,15.6,9,0,108.86,,28.83,0.5
1881,20.80,19.00,3.91,15.09,39.80,83.97,15.7,8.9,0,108.61,,27.81,0.705
1882,21.27,19.04,3.93,15.11,40.31,83.65,15.6,8.9,0,108.13,,31.39,0.749
1883,21.43,19.15,3.96,15.19,40.58,83.64,16.1,8.9,0,108.63,,33.6,0.54
1884,21.47,19.33,4.00,15.33,40.80,83.92,16.3,8.8,0,109.06,,34.9,0.994
1885,21.58,19.50,4.05,15.45,41.08,84.15,16.6,8.8,0,109.52,,37.66,1.035
1886,21.56,19.65,4.09,15.56,41.22,84.31,15,8.8,0,108.13,,36.74,1.162
1887,21.31,19.74,4.12,15.62,41.05,84.16,14.9,8.7,0,107.82,,37.37,1.161
1888,21.36,19.80,4.14,15.66,41.17,83.93,14.1,8.7,0,106.71,,41.71,1.069
1889,21.17,19.92,4.17,15.75,41.09,83.92,14.1,8.7,0,106.71,,48.16,1.871
1890,21.45,19.98,4.20,15.78,41.43,83.63,15.9,8.6,0,108.20,,48.82,1.565
1891,21.53,20.04,4.21,15.83,41.57,83.47,15.4,8.6,0,107.49,,51.64,1.738
1892,21.67,20.05,4.21,15.84,41.72,83.06,15.2,8.6,0,106.89,,51.44,1.74
1893,21.65,20.11,4.22,15.89,41.76,82.88,14.9,8.6,0,106.31,,51.9,2.026
1894,21.84,20.31,4.26,16.04,42.15,83.25,15.8,8.5,0,107.61,,62,1.947
1895,22.06,20.49,4.30,16.19,42.55,83.55,15.9,8.5,0,107.93,,62.17,2.453
1896,22.21,20.66,4.34,16.32,42.87,83.79,18.3,8.5,0,110.51,,64.6,2.162
1897,22.37,20.85,4.38,16.47,43.21,84.09,19.7,8.4,0,112.21,,71.81,2.744
1898,22.56,21.06,4.42,16.64,43.62,84.49,19.2,8.4,0,112.06,,76.64,2.652
1899,22.60,21.19,4.45,16.74,43.79,84.56,17.5,8.4,0,110.46,,96.47,3.063
1900,22.77,21.34,4.48,16.86,44.12,84.70,22.3,8.3,0,115.41,,96.6,3.221
1901,20.41,21.49,4.51,16.98,41.91,84.83,21.2,8.3,0.1,114.39,,89.42,3.265
1902,20.42,21.58,4.53,17.05,42.00,84.70,25.8,8.3,0.1,118.86,,93.43,3.514
1903,20.47,21.66,4.55,17.12,42.13,84.55,23.6,8.2,0.1,116.53,,102.7,4.022
1904,20.32,21.82,4.58,17.24,42.14,84.67,22.9,8.2,0.1,115.86,,108.4,4.045
1905,20.48,21.95,4.61,17.34,42.43,84.70,32.3,8.2,0.1,125.32,,106.3,4.385
1906,20.67,22.11,4.64,17.47,42.78,84.85,33.2,8.1,0.2,126.37,,118.8,4.456
1907,20.64,22.27,4.68,17.59,42.91,84.96,31.8,8.1,0.2,125.07,,135.1,4.666
1908,20.82,22.47,4.72,17.76,43.29,85.25,27.4,8.1,0.2,120.93,,143.6,5.961
1909,20.94,22.66,4.76,17.90,43.60,85.44,22.1,8,0.2,115.81,,132.1,5.854
1910,21.02,22.84,4.80,18.04,43.86,85.61,38,8,0.2,131.89,,136.6,5.752
1911,20.95,22.99,4.83,18.16,43.93,85.67,35.1,8,0.3,128.96,,133.9,6.753
1912,22.43,23.15,4.86,18.29,45.58,85.77,32.9,7.9,0.3,126.88,,147.8,6.2
1913,22.43,23.28,4.89,18.39,45.71,85.74,45.8,7.9,0.3,139.73,,165.4,7.328
1914,22.61,23.44,4.92,18.52,46.05,85.81,49.4,8.3,0.3,143.87,,156.6,5.853
1915,23.51,23.57,4.95,18.62,47.08,85.74,50.7,8.8,0.4,145.61,,159.4,6.036
1916,24.08,23.74,4.99,18.76,47.82,91.82,59.1,9.8,0.3,161.08,,167.6,6.693
1917,23.71,23.91,5.02,18.89,47.61,105.57,59.1,11,0.5,176.16,,69.99,2.094
1918,23.62,23.95,5.03,18.92,47.57,105.23,56,11,0.5,172.75,,82.53,1.177
1919,20.08,24.07,5.06,19.02,44.15,105.25,52.8,11,0.5,169.58,,74.37,5.783
1920,21.10,24.30,5.10,19.20,45.40,85.70,48.4,11,0.5,145.54,,102.7,6.462
1921,19.70,24.49,5.14,19.35,44.19,85.33,30.1,11,0.4,127.11,,58.09,5.465
1922,19.67,24.62,5.17,19.45,44.28,84.70,31.3,12,0.1,127.90,,101.4,6.6
1923,19.61,24.68,5.18,19.50,44.29,83.85,31.7,12,0.1,127.78,,123.4,8.055
1924,19.76,24.79,5.21,19.59,44.55,83.17,38.4,13,0.1,134.25,,148.6,9.424
1925,20.32,24.85,5.22,19.63,45.18,82.29,34.4,13,0.1,129.77,,130.5,11.22
1926,19.78,24.93,5.23,19.69,44.71,81.45,34.7,13,0,129.64,,126.1,12.33
1927,19.72,24.97,5.24,19.73,44.69,80.51,33.1,14,0,127.55,,180.9,13.64
1928,19.76,25.03,5.26,19.77,44.79,79.62,32.9,14,0.1,126.86,,161.3,16.87
1929,19.60,25.08,5.27,19.81,44.68,78.68,37.3,15,0.1,130.78,,194,18.36
1930,18.90,25.16,5.28,19.87,44.05,77.83,33.7,15,0,126.69,,185.5,22.42
1931,19.01,25.23,5.26,19.97,44.24,76.95,28,16,0,120.58,,185.1,24.09
1932,19.30,25.33,5.23,20.09,44.63,76.16,23.6,16,0,115.75,,180.2,27.54
1933,19.16,25.40,5.21,20.20,44.56,75.28,26.7,16,0,118.49,,187.4,29.47
1934,18.94,25.48,5.18,20.30,44.42,74.39,30.7,17,0.1,122.06,,209.3,30.8
1935,17.60,25.54,5.15,20.39,43.14,73.45,31.5,17,0.1,122.29,0,217.6,35.21
1936,15.88,25.59,5.12,20.48,41.47,72.48,31.9,17,0.1,121.71,0.79,239.4,40.24
1937,14.82,25.65,5.09,20.57,40.47,71.53,32.8,17,0.1,121.36,1.21,,45.95
1938,13.74,25.74,5.06,20.68,39.48,69.79,32.2,17,0.1,118.66,2.55,239,51.35
1939,12.61,25.86,5.04,20.82,38.47,140.26,34.2,32,0.1,206.93,3.25,276.3,59
1940,11.48,25.97,5.02,20.95,37.45,140.93,39.3,32,0.1,212.04,2.41,182,22.76
1941,10.54,26.10,5.00,21.10,36.63,141.70,58.4,31,0.2,231.23,2.25,156.5,5.697
1942,9.61,26.30,4.99,21.30,35.90,142.85,73.2,30,0.9,247.17,3.14,129.2,4.873
1943,8.77,26.55,4.99,21.55,35.31,144.27,68.9,29,0.4,242.95,2.65,155.3,5.135
1944,7.56,26.84,5.00,21.83,34.40,145.92,66.8,29,0.7,242.02,2.63,119.5,5.142
1945,6.83,27.13,5.01,22.12,33.96,210.00,73.7,42,0.7,326.34,4.89,24.27,7.532
1946,6.39,27.49,5.03,22.45,33.87,65.45,64.1,14,0.3,143.52,8.42,113.9,70.97
1947,5.99,27.79,5.04,22.75,33.78,65.26,44.3,13,0.5,123.26,12.91,158.7,125.1
1948,4.91,28.11,5.05,23.06,33.02,64.78,35,13,0.3,113.00,12.03,216.6,114.8
1949,4.43,28.35,5.05,23.30,32.78,64.06,30.9,12,0.3,107.81,10.89,185.5,108.7
1950,3.95,28.56,5.04,23.52,32.51,63.28,29.7,12,0.3,105.32,15.68,221,146.4
1951,3.42,28.78,5.03,23.75,32.20,60.74,26.1,12,0.3,98.85,19.99,241.2,185.3
1952,2.96,28.97,5.01,23.96,31.94,58.12,24.6,11,0.2,94.33,20.88,232.1,203
1953,2.36,29.13,4.99,24.14,31.48,55.38,22.7,11,0.2,89.28,24.3,176.9,221.7
1954,1.96,29.29,4.97,24.32,31.24,52.61,23,11,0.2,86.44,30.79,158,253.7
1955,1.60,29.50,4.96,24.54,31.09,49.89,22.3,10,0.4,82.77,35.47,179.4,319.1
1956,1.36,29.68,4.94,24.74,31.03,47.07,20.8,9.7,0.4,77.87,40.23,172.3,389.5
1957,1.26,29.86,4.92,24.95,31.12,44.23,20.6,9.1,0.3,74.23,43.8,163.3,371.6
1958,1.16,30.02,4.89,25.12,31.18,41.29,19.9,8.6,0.3,70.04,43.31,108.4,414
1959,1.07,30.13,4.86,25.27,31.21,38.27,17.2,8,0.5,63.99,48.67,106,355.1
1960,0.99,30.26,4.83,25.43,31.25,35.24,17.8,7.5,0.6,61.16,58.5,117.9,443.6
1961,0.91,30.42,4.80,25.62,31.33,32.22,18,6.9,0.8,57.88,63.50,108,439.9
1962,0.83,30.57,4.78,25.79,31.39,29.13,14.7,6.4,0.9,51.09,58.54,107,494
1963,0.85,30.74,4.75,25.99,31.58,26.04,13.2,5.8,0.9,46.00,65.73,104.7,543.4
1964,0.86,31.00,4.74,26.26,31.86,22.98,13.9,5.3,1.3,43.44,77.15,111.6,600.7
1965,0.84,31.29,4.73,26.56,32.14,19.88,12.8,4.7,1.4,38.81,83.10,94.8,638.7
1966,0.83,31.56,4.72,26.84,32.39,18.70,11.6,4.2,1,35.43,81.48,95.61,756.2
1967,0.81,31.75,4.69,27.05,32.56,17.46,10.9,3.6,0.5,32.56,87.41,80.93,713.5
1968,0.80,31.90,4.66,27.24,32.70,16.18,10,3.1,0.4,29.74,88.11,84.82,822.1
1969,0.78,32.16,4.65,27.52,32.94,14.94,9.83,2.5,0.6,27.90,94.97,76.96,926.6
1970,0.76,32.45,4.63,27.82,33.22,13.69,10.4,2,0.7,26.75,104.65,81.9,1038
1971,0.75,32.58,4.60,27.98,33.32,12.34,10.1,1.3,0.4,24.15,101.56,80.25,954.8
1972,0.73,32.61,4.55,28.07,33.35,10.96,10.6,1.1,0.5,23.20,107.25,67.24,957.3
1973,0.72,32.66,4.50,28.16,33.38,9.57,11.9,0.9,1,23.42,108.58,77.27,977.2
1974,0.70,32.77,4.46,28.31,33.47,8.20,12.9,0.7,0.9,22.72,116.52,92.66,926.8
1975,0.69,32.88,4.42,28.46,33.57,6.81,10.9,0.4,1,19.08,107.37,84.87,962.9
1976,0.67,32.98,4.38,28.60,33.65,10.89,11.2,0.4,0.6,23.09,104.43,91.65,1005
1977,0.65,33.09,4.34,28.75,33.74,14.98,12.6,0.4,0.3,28.30,91.34,62.59,995.3
1978,0.64,33.14,4.29,28.85,33.78,19.06,13.6,0.5,0.8,33.90,104.49,54.65,873.5
1979,0.81,33.20,4.24,28.96,34.01,23.15,13.8,0.6,1,38.54,113.66,80.04,1014
1980,0.80,33.24,4.19,29.05,34.04,27.23,14.4,0.6,2.4,44.59,107.07,74.24,880.8
1981,0.78,33.24,4.24,29.01,34.02,33.32,17.2,0.6,4.1,55.16,105.3,59.08,707.6
1982,0.76,33.25,4.28,28.96,34.01,35.53,19.3,0.6,5.8,61.25,92.72,73.71,675.2
1983,0.75,33.24,4.33,28.91,33.99,38.29,23.1,0.6,9.4,71.38,115.46,93.21,626.3
1984,0.73,33.27,4.38,28.89,34.01,41.40,23.4,0.6,13,78.17,119.43,115.7,547.2
1985,0.72,33.32,4.43,28.89,34.03,41.68,22.8,0.7,15,80.52,114.34,147.6,602
1986,0.70,33.39,4.49,28.91,34.10,39.74,22.3,0.7,17,79.59,117.37,133.8,682.5
1987,0.69,33.51,4.55,28.96,34.19,35.25,21,0.7,18,74.67,123.94,113.8,562.1
1988,0.67,33.67,4.62,29.05,34.34,35.25,20.5,0.7,18,99.81,131.38,118.8,603.9
1989,0.65,33.92,4.70,29.22,34.58,35.25,21.2,0.7,17,94.52,125,120.5,529
1990,0.64,34.16,4.78,29.38,34.80,35.03,21,0.7,17,129.64,100.25,112.1,521.1
1991,0.65,34.37,4.76,29.61,35.02,,,,,150.8,103.66,106.7,496.8
1992,0.65,34.56,4.74,29.82,35.21,,,,,196.7,61.7,96.5,493.2
1993,0.65,34.77,4.72,30.05,35.42,,,,,164,108.19,96.8,490.8
1994,0.65,35.06,4.71,30.35,35.71,,,,,217.3,66.23,100.1,506.2
1995,0.65,35.14,4.67,30.47,35.79,,,,,187.8,113.95,98.5,510.5
1996,0.65,35.17,4.63,30.54,35.82,,,,,199.6,112.18,110.3,515.7
1997,0.65,35.18,4.58,30.60,35.83,,,,,204,120.25,94.2,509
1998,0.65,35.21,4.53,30.67,35.86,,,,,212.9,119.70,94.1,496.1
1999,0.65,35.24,4.49,30.75,35.89,,,,,212.7,122.56,90.7,494.1
2000,0.65,35.32,4.45,30.87,35.97,,,,,204.9,141.50,92.9,471.7